THEORY_L0_UMRA_VS_HAJJ_TITLE,Чем Умра отличается от Хаджа?,Po čemu se Umra razlikuje od Hadža?,Si ndryshon Umreja nga Haxhi?,Umre ile Hac arasındaki farklar nelerdir?,ما الفرق بين العمرة والحج؟,Apa perbedaan Umrah dengan Haji?,How is Umrah different from Hajj?
THEORY_L0_UMRA_VS_HAJJ_TEXT,Хадж совершается только в определённые дни месяца Зуль-хиджа и является одним из пяти столпов Ислама. Умру можно совершать почти круглый год. и она включает меньше обязательных обрядов.,Hadž se obavlja samo određenim danima mjeseca zul-hidždžeta i jedan je od pet stubova islama. Umra se može obavljati gotovo tokom cijele godine i uključuje manje obaveznih rituala.,Haxhi kryhet vetëm në ditë të caktuara të muajit Dhul-Hixhe dhe është një nga Pesë Shtyllat e Islamit. Umra mund të kryhet pothuajse gjatë gjithë vitit dhe përfshin më pak rituale të detyrueshme.,"Hac, yalnızca Zilhicce ayının belirli günlerinde yapılır ve İslam'ın Beş Şartından biridir. Umre ise neredeyse yıl boyunca yapılabilir ve daha az zorunlu ibadet içerir.",يُؤدّى الحج في أيام محددة من شهر ذي الحجة، وهو أحد أركان الإسلام الخمسة. أما العمرة، فيمكن أداؤها على مدار العام تقريباً، وتتضمن مناسك أقلّ.,Haji hanya dilakukan pada hari-hari tertentu di bulan Dzul-Hijjah dan merupakan salah satu dari Lima Rukun Islam. Umrah dapat dilakukan hampir sepanjang tahun dan melibatkan lebih sedikit ritual wajib.,Hajj is performed only on certain days of the month of Dhul-Hijjah and is one of the Five Pillars of Islam. Umrah can be performed almost year-round and involves fewer obligatory rituals.
,,,,,,,
THEORY_L0_UMRA_STEPS_TITLE,Основные этапы Умры,Glavne faze Umre,Fazat kryesore të Umres,Umrenin Ana Aşamaları,المراحل الرئيسية للعمرة,Tahapan Utama Umrah,The Main Stages of Umrah
THEORY_L0_UMRA_STEPS_TEXT,Умра состоит из пяти основных этапов: 1) Вступление в состояние Ихрама у Миката; 2) Прибытие в Масджид аль-Харам; 3) Совершение Тавафа вокруг Каабы; 4) Совершение Са'и между Сафой и Марвой; 5) Бритьё или укорачивание волос и выход из Ихрама.,Umra se sastoji od pet glavnih faza: 1) Ulazak u stanje ihrama na mikatu; 2) Dolazak u džamiju-l-Haram; 3) Obavljanje tavafa oko Kabe; 4) Obavljanje sa'ija između Safe i Merve; 5) Brijanje ili šišanje kose i izlazak iz ihrama.,Umreja përbëhet nga pesë faza kryesore: 1) Hyrja në gjendjen e Ihramit në Mikat; 2) Mbërritja në Mesxhidul-Haram; 3) Kryerja e Tavafit rreth Qabes; 4) Kryerja e Sa'iut midis Safasë dhe Mervasë; 5) Rruajtja ose prerja e flokëve dhe dalja nga Ihrami.,Umre beş ana aşamadan oluşur: 1) Mikat noktasında ihrama girmek; 2) Mescid-i Haram'a varmak; 3) Kâbe etrafında tavaf yapmak; 4) Safa ve Merve arasında sa'i yapmak; 5) Saçları tıraş etmek veya kesmek ve ihramdan çıkmak.,تتكون العمرة من خمس مراحل رئيسية: 1) الدخول في حالة الإحرام عند الميقات؛ 2) الوصول إلى المسجد الحرام؛ 3) أداء الطواف حول الكعبة؛ 4) أداء السعي بين الصفا والمروة؛ 5) حلق أو قص الشعر والخروج من الإحرام.,Umrah terdiri dari lima tahapan utama: 1) Memasuki keadaan ihram di Mikat; 2) Tiba di Masjidil Haram; 3) Melakukan Tawaf mengelilingi Ka'bah; 4) Melakukan Sa'i antara Safa dan Marwa; 5) Mencukur atau memotong rambut dan keluar dari keadaan ihram.,Umrah consists of five main stages: 1) Entering the state of Ihram at the Mikat; 2) Arriving at the Masjid al-Haram; 3) Performing Tawaf around the Kaaba; 4) Performing Sa'i between Safa and Marwa; 5) Shaving or cutting the hair and exiting Ihram.
,,,,,,,
THEORY_L0_MIQAT_TITLE,Что такое Микат?,Šta je Mikat?,Çfarë është Mikat?,Mikat nedir?,ما هو ميكات؟,Apa itu Mikat?,What is Mikat?
THEORY_L0_MIQAT_TEXT,Микат — это установленная граница. перед которой паломник должен войти в состояние Ихрама. если направляется на Умру или Хадж.,Mikat je utvrđena granica prije koje hodočasnik mora ući u stanje Ihrama ako ide na umru ili hadž.,Mikati është kufiri i përcaktuar para të cilit një pelegrin duhet të hyjë në gjendjen e Ihramit nëse shkon për Umre ose Haxh.,"Mikat, Umre veya Hac ibadeti için yola çıkan bir hacının ihram haline girmesi gereken belirlenmiş sınırdır.",الميكات هو الحد الفاصل الذي يجب على الحاج أن يدخل أمامه في حالة الإحرام إذا كان متجهاً لأداء العمرة أو الحج.,Mikat adalah batas yang telah ditetapkan di mana seorang peziarah harus memasuki keadaan Ihram jika hendak melaksanakan Umrah atau Haji.,Mikat is the established boundary before which a pilgrim must enter the state of Ihram if heading for Umrah or Hajj.
,,,,,,,
THEORY_L0_IHRAM_STATE_TITLE,Что такое Ихрам?,Šta je Ihram?,Çfarë është Ihrami?,İhram nedir?,ما هو الإحرام؟,Apa itu Ihram?,What is Ihram?
THEORY_L0_IHRAM_STATE_TEXT,Ихрам — это особое состояние поклонения. Оно начинается с намерения (нийя) и произнесения тальбии и сопровождается определёнными правилами и ограничениями.,"Ihram je posebno stanje ibadeta. Počinje namjerom (nijjom) i izgovaranjem talbije, a praćen je određenim pravilima i ograničenjima.",Ihrami është një gjendje e veçantë adhurimi. Ai fillon me nijetin (nijjen) dhe recitimin e telbijes dhe shoqërohet me rregulla dhe kufizime të caktuara.,"İhram, özel bir ibadet halidir. Niyetle (niyya) ve Talbiye'nin okunmasıyla başlar ve belirli kurallar ve kısıtlamalarla birlikte gelir.",الإحرام حالة عبادة خاصة. يبدأ بالنية وتلاوة التلبية، ويصاحبه قواعد وقيود معينة.,Ihram adalah keadaan ibadah khusus. Ihram dimulai dengan niat (niyya) dan pembacaan Talbiyah serta disertai dengan aturan dan batasan tertentu.,Ihram is a special state of worship. It begins with the intention (niyya) and the recitation of Talbiyah and is accompanied by certain rules and restrictions.
,,,,,,,
THEORY_L0_IHRAM_APPEARANCE_TITLE,Как выглядит Ихрам?,Kako izgleda Ihram?,Si duket Ihrami?,İhram nasıl bir şeydir?,كيف يبدو الإحرام؟,Seperti apa tampilan pakaian Ihram?,What does Ihram look like?
THEORY_L0_IHRAM_APPEARANCE_TEXT,Мужчины: два белых несшитых полотна; одно закрывает нижнюю часть тела; второе покрывает плечи и верхнюю часть тела; голова остаётся открытой; запрещается использовать духи после вступления в Ихрам. Женщины: обычная скромная одежда; закрыто всё тело. кроме лица и кистей рук (в соответствии с принятым мнением); специальных цветов или формы одежды не требуется; одежда должна быть чистой и не привлекать внимание.,"Muškarci: Dvije bijele, nešivene plahte; jedna pokriva donji dio tijela; druga pokriva ramena i gornji dio tijela; glava ostaje otkrivena; upotreba parfema je zabranjena nakon ulaska u ihram. Žene: Normalna skromna odjeća; cijelo tijelo je pokriveno osim lica i ruku (prema prihvaćenom mišljenju); nisu potrebne posebne boje ili oblik odjeće; odjeća mora biti čista i ne smije privlačiti pažnju.","Burrat: Dy çarçafë të bardhë, të pakepur; njëri mbulon pjesën e poshtme të trupit; tjetri mbulon shpatullat dhe pjesën e sipërme të trupit; koka mbetet e zbuluar; përdorimi i parfumit është i ndaluar pas hyrjes në Ihram. Gratë: Veshje normale dhe modeste; i gjithë trupi është i mbuluar përveç fytyrës dhe duarve (sipas mendimit të pranuar); nuk kërkohen ngjyra ose forma të veçanta të veshjeve; veshjet duhet të jenë të pastra dhe të mos tërheqin vëmendjen.","Erkekler: İki adet beyaz, dikişsiz çarşaf; biri vücudun alt kısmını, diğeri omuzları ve üst bedeni örter; baş açık kalır; ihrama girdikten sonra parfüm kullanımı yasaktır. Kadınlar: Normal, mütevazı kıyafetler; yüz ve eller hariç tüm vücut örtülür (kabul görmüş görüşe göre); özel renk veya şekilli kıyafet gerekmez; kıyafetler temiz olmalı ve dikkat çekmemelidir.",الرجال: ملاءتان بيضاوان غير مخيطتين؛ تغطي إحداهما الجزء السفلي من الجسم، والأخرى الكتفين والجزء العلوي؛ ويبقى الرأس مكشوفًا؛ ويُحظر استخدام العطور بعد الإحرام. النساء: ملابس محتشمة عادية؛ يُغطى الجسم بالكامل ما عدا الوجه واليدين (حسب الرأي السائد)؛ ولا يُشترط لون أو شكل معين للملابس؛ ويجب أن تكون الملابس نظيفة وغير لافتة للنظر.,Laki-laki: Dua lembar kain putih tanpa jahitan; satu menutupi bagian bawah tubuh; yang lain menutupi bahu dan bagian atas tubuh; kepala tetap terbuka; penggunaan parfum dilarang setelah memasuki Ihram. Perempuan: Pakaian sopan biasa; seluruh tubuh tertutup kecuali wajah dan tangan (menurut pendapat umum); tidak ada warna atau bentuk pakaian khusus yang diwajibkan; pakaian harus bersih dan tidak menarik perhatian.,"Men: Two white, unstitched sheets; one covers the lower part of the body; the other covers the shoulders and upper body; the head remains uncovered; the use of perfume is prohibited after entering Ihram. Women: Normal modest clothing; the entire body is covered except for the face and hands (according to accepted opinion); no special colors or shape of clothing are required; clothing must be clean and not attract attention."
,,,,,,,
THEORY_L0_UMRA_COMPLETION_TITLE,Что происходит после завершения Умры?,Šta se dešava nakon završetka Umre?,Çfarë ndodh pasi të përfundojë Umra?,Umre tamamlandıktan sonra ne olur?,ماذا يحدث بعد إتمام العمرة؟,Apa yang terjadi setelah ibadah Umrah selesai?,What happens after Umrah is completed?
THEORY_L0_UMRA_COMPLETION_TEXT,После завершения Са'и мужчины полностью сбривают волосы или значительно их укорачивают. женщины срезают небольшую прядь волос. После этого паломник выходит из состояния Ихрама. и Умра считается завершённой.,"Nakon završetka sa'ija, muškarci potpuno briju kosu ili je znatno skrate. Žene podrezuju mali pramen kose. Nakon toga, hodočasnik izlazi iz ihrama, a umra se smatra završenom.","Pas përfundimit të Sa'i-t, burrat i rruajnë flokët plotësisht ose i shkurtojnë dukshëm. Gratë shkurtojnë një tufë të vogël flokësh. Pas kësaj, pelegrini del nga Ihrami dhe Umra konsiderohet e përfunduar.",Sa'i tamamlandıktan sonra erkekler saçlarını tamamen tıraş eder veya önemli ölçüde kısaltırlar. Kadınlar ise küçük bir tutam saç keserler. Bundan sonra hacı ihramdan çıkar ve Umre tamamlanmış sayılır.,بعد إتمام السعي، يحلق الرجال شعرهم بالكامل أو يقصونه بشكل ملحوظ. أما النساء فيقصرن خصلة صغيرة من الشعر. بعد ذلك، يخرج المعتمر من الإحرام، وتُعتبر مناسك العمرة منتهية.,"Setelah menyelesaikan Sa'i, kaum pria mencukur habis rambut mereka atau memotongnya jauh lebih pendek. Kaum wanita memangkas sedikit rambut mereka. Setelah itu, jamaah keluar dari Ihram, dan Umrah dianggap selesai.","After completing Sa'i, men shave their hair completely or cut it significantly shorter. Women trim a small lock of hair. After this, the pilgrim exits Ihram, and Umrah is considered complete."
,,,,,,,
Q0_UMRA_DEFINITION,Что такое Умра?,Šta je Umra?,Çfarë është Umra?,Umre nedir?,ما هي العمرة؟,Apa itu Umrah?,What is Umrah?
Q0_OPT_1_MAJOR_PILGRIMAGE,Большое паломничество (Хадж),Veliko hodočašće (Hadž),Pelegrinazhi i Madh (Haxhi),Büyük Hac (Hac Yolculuğu),الحج,Ibadah Haji Agung,The Great Pilgrimage (Hajj)
Q0_OPT_2_MINOR_PILGRIMAGE,Малое паломничество,Malo hodočašće,Pelegrinazhi i Vogël,Küçük Hac Yolculuğu,رحلة حج أصغر,Ziarah Kecil,Lesser Pilgrimage
Q0_OPT_3_FASTING_RAMADAN,Пост в месяц Рамадан,Post u mjesecu ramazanu,Agjërimi në muajin e Ramazanit,Ramazan ayında oruç tutmak,الصيام في شهر رمضان,Berpuasa di bulan Ramadan,Fasting in the month of Ramadan
Q0_OPT_4_ZAKAT_ALMS,Закят (обязательная милостыня),Zekat (obavezna dobrotvorna akcija),Zekati (lëmoshë e detyrueshme),Zekat (zorunlu sadaka),الزكاة (الصدقة الواجبة),Zakat (sedekah wajib),Zakat (obligatory charity)
Q0_EXPL_UMRA_DEF,Умра — это малое паломничество в Мекку. которое можно совершить практически в любое время года. Она включает несколько обязательных обрядов и является великим видом поклонения Аллаху.,Umra je manje hodočašće u Meku koje se može obaviti gotovo u bilo koje doba godine. Uključuje nekoliko obaveznih rituala i predstavlja duboki oblik obožavanja Allaha.,Umra është një pelegrinazh i vogël në Mekë që mund të kryhet pothuajse në çdo kohë të vitit. Ajo përfshin disa rituale të detyrueshme dhe është një formë e thellë adhurimi ndaj Allahut.,"Umre, yılın hemen her zamanında yapılabilen, Mekke'ye yapılan küçük bir hac yolculuğudur. Birkaç farz ibadeti içerir ve Allah'a yönelik derin bir ibadet biçimidir.",العمرة هي حجّ صغير إلى مكة المكرمة يمكن أداؤه في أي وقت تقريباً من السنة. وهي تشمل العديد من المناسك المفروضة، وتُعدّ شكلاً عميقاً من أشكال العبادة لله.,Umrah adalah ibadah haji kecil ke Mekah yang dapat dilakukan hampir sepanjang tahun. Ibadah ini meliputi beberapa ritual wajib dan merupakan bentuk ibadah yang mendalam kepada Allah.,Umrah is a minor pilgrimage to Mecca that can be performed at almost any time of year. It includes several obligatory rituals and is a profound form of worship to Allah.
,,,,,,,
Q0_UMRA_VS_HAJJ,В чём отличие Умры от Хаджа?,Koja je razlika između umre i hadža?,Cili është ndryshimi midis Umres dhe Haxhit?,Umre ve Hac arasındaki fark nedir?,ما الفرق بين العمرة والحج؟,Apa perbedaan antara Umrah dan Haji?,What is the difference between Umrah and Hajj?
Q0_OPT_1_TIMING_ONLY,Только во времени совершения,Samo u vrijeme komisionera,Vetëm në kohën e komisionimit,Sadece görevlendirme zamanında,فقط في وقت التكليف,Hanya pada saat komisi,Only in the time of commission
Q0_OPT_2_RITUALS_ONLY,Только в количестве обрядов,Samo u broju rituala,Vetëm në numrin e ritualeve,Sadece ritüellerin sayısında,فقط في عدد الطقوس,Hanya dalam jumlah ritual,Only in the number of rituals
Q0_OPT_3_BOTH_TIMING_RITUALS,И во времени. и в количестве обрядов,I po vremenu i po broju rituala,Si në kohë ashtu edhe në numrin e ritualeve,Hem zaman hem de ritüel sayısı bakımından,سواء من حيث الوقت أو عدد الطقوس,Baik dari segi waktu maupun jumlah ritual,Both in time and in the number of rituals
Q0_OPT_4_NO_DIFFERENCE,Отличий нет,Nema razlika,Nuk ka dallime,Hiçbir fark yok.,لا توجد اختلافات,Tidak ada perbedaan,There are no differences
Q0_EXPL_UMRA_VS_HAJJ,Хадж совершается только в определённые дни месяца Зуль-хиджа и является одним из пяти столпов Ислама. Умру можно совершать почти круглый год. и она включает меньше обязательных обрядов.,Hadž se obavlja samo određenim danima mjeseca zul-hidždžeta i jedan je od pet stubova islama. Umra se može obavljati gotovo tokom cijele godine i uključuje manje obaveznih rituala.,Haxhi kryhet vetëm në ditë të caktuara të muajit Dhul-Hixhe dhe është një nga Pesë Shtyllat e Islamit. Umra mund të kryhet pothuajse gjatë gjithë vitit dhe përfshin më pak rituale të detyrueshme.,"Hac, yalnızca Zilhicce ayının belirli günlerinde yapılır ve İslam'ın Beş Şartından biridir. Umre ise neredeyse yıl boyunca yapılabilir ve daha az zorunlu ibadet içerir.",يُؤدّى الحج في أيام محددة من شهر ذي الحجة، وهو أحد أركان الإسلام الخمسة. أما العمرة، فيمكن أداؤها على مدار العام تقريباً، وتتضمن مناسك أقلّ.,Haji hanya dilakukan pada hari-hari tertentu di bulan Dzul-Hijjah dan merupakan salah satu dari Lima Rukun Islam. Umrah dapat dilakukan hampir sepanjang tahun dan melibatkan lebih sedikit ritual wajib.,Hajj is performed only on certain days of the month of Dhul-Hijjah and is one of the Five Pillars of Islam. Umrah can be performed almost year-round and involves fewer obligatory rituals.
,,,,,,,
Q0_UMRA_STEPS_COUNT,Из скольких основных этапов состоит Умра?,Od koliko glavnih faza se sastoji Umra?,Nga sa faza kryesore përbëhet Umreja?,Umre kaç ana aşamadan oluşur?,كم عدد المراحل الرئيسية التي تتكون منها العمرة؟,Umrah terdiri dari berapa tahapan utama?,How many main stages does Umrah consist of?
Q0_OPT_1_THREE,Трёх,Tri,Tre,Üç,ثلاثة,Tiga,Three
Q0_OPT_2_FOUR,Четырёх,Četiri,Katër,Dört,أربعة,Empat,Four
Q0_OPT_3_FIVE,Пяти,Pet,Pesë,Beş,خمسة,Lima,Five
Q0_OPT_4_SIX,Шести,Šest,Gjashtë,Altı,ستة,Enam,Six
Q0_EXPL_UMRA_STEPS,Умра состоит из пяти основных этапов: 1) Вступление в состояние Ихрама у Миката; 2) Прибытие в Масджид аль-Харам; 3) Совершение Тавафа вокруг Каабы; 4) Совершение Са'и между Сафой и Марвой; 5) Бритьё или укорачивание волос и выход из Ихрама.,Umra se sastoji od pet glavnih faza: 1) Ulazak u stanje ihrama na mikatu; 2) Dolazak u džamiju-l-Haram; 3) Obavljanje tavafa oko Kabe; 4) Obavljanje sa'ija između Safe i Merve; 5) Brijanje ili šišanje kose i izlazak iz ihrama.,Umreja përbëhet nga pesë faza kryesore: 1) Hyrja në gjendjen e Ihramit në Mikat; 2) Mbërritja në Mesxhidul-Haram; 3) Kryerja e Tavafit rreth Qabes; 4) Kryerja e Sa'iut midis Safasë dhe Mervasë; 5) Rruajtja ose prerja e flokëve dhe dalja nga Ihrami.,Umre beş ana aşamadan oluşur: 1) Mikat noktasında ihrama girmek; 2) Mescid-i Haram'a varmak; 3) Kâbe etrafında tavaf yapmak; 4) Safa ve Merve arasında sa'i yapmak; 5) Saçları tıraş etmek veya kesmek ve ihramdan çıkmak.,تتكون العمرة من خمس مراحل رئيسية: 1) الدخول في حالة الإحرام عند الميقات؛ 2) الوصول إلى المسجد الحرام؛ 3) أداء الطواف حول الكعبة؛ 4) أداء السعي بين الصفا والمروة؛ 5) حلق أو قص الشعر والخروج من الإحرام.,Umrah terdiri dari lima tahapan utama: 1) Memasuki keadaan ihram di Mikat; 2) Tiba di Masjidil Haram; 3) Melakukan Tawaf mengelilingi Ka'bah; 4) Melakukan Sa'i antara Safa dan Marwa; 5) Mencukur atau memotong rambut dan keluar dari keadaan ihram.,Umrah consists of five main stages: 1) Entering the state of Ihram at the Mikat; 2) Arriving at the Masjid al-Haram; 3) Performing Tawaf around the Kaaba; 4) Performing Sa'i between Safa and Marwa; 5) Shaving or cutting the hair and exiting Ihram.
,,,,,,,
Q0_MIQAT_DEFINITION,Что такое Микат?,Šta je Mikat?,Çfarë është Mikat?,Mikat nedir?,ما هو ميكات؟,Apa itu Mikat?,What is Mikat?
Q0_OPT_1_SACRIFICE_PLACE,Место жертвоприношения,Mjesto žrtvovanja,Vendi i sakrificës,Kurban yeri,مكان التضحية,Tempat pengorbanan,Place of sacrifice
Q0_OPT_2_IHRAM_BOUNDARY,Граница для вступления в ихрам,Granica za ulazak u ihram,Kufiri për të hyrë në ihram,İhrama giriş sınırı,حدود دخول الإحرام,Batasan untuk memasuki ihram,The boundary for entering ihram
Q0_OPT_3_HOLY_WELL,Священный колодец,Sveti bunar,Pus i shenjtë,Kutsal kuyu,البئر المقدس,Sumur suci,Sacred well
Q0_OPT_4_MEDINA_MOSQUE,Мечеть в Медине,Džamija u Medini,Xhamia në Medinë,Medine'deki cami,مسجد في المدينة المنورة,Masjid di Madinah,Mosque in Medina
Q0_EXPL_MIQAT,Микат — это установленная граница. перед которой паломник должен войти в состояние Ихрама. если направляется на Умру или Хадж.,Mikat je utvrđena granica prije koje hodočasnik mora ući u stanje Ihrama ako ide na umru ili hadž.,Mikati është kufiri i përcaktuar para të cilit një pelegrin duhet të hyjë në gjendjen e Ihramit nëse shkon për Umre ose Haxh.,"Mikat, Umre veya Hac ibadeti için yola çıkan bir hacının ihram haline girmesi gereken belirlenmiş sınırdır.",الميكات هو الحد الفاصل الذي يجب على الحاج أن يدخل أمامه في حالة الإحرام إذا كان متجهاً لأداء العمرة أو الحج.,Mikat adalah batas yang telah ditetapkan di mana seorang peziarah harus memasuki keadaan Ihram jika hendak melaksanakan Umrah atau Haji.,Mikat is the established boundary before which a pilgrim must enter the state of Ihram if heading for Umrah or Hajj.
,,,,,,,
Q0_IHRAM_STATE,Что такое Ихрам?,Šta je Ihram?,Çfarë është Ihrami?,İhram nedir?,ما هو الإحرام؟,Apa itu Ihram?,What is Ihram?
Q0_OPT_1_PRAYER_TYPE,Вид молитвы,Vrsta molitve,Lloji i lutjes,Dua türü,نوع الصلاة,Jenis doa,Type of prayer
Q0_OPT_2_SPECIAL_CLOTHING,Только специальная одежда,Samo posebna odjeća,Vetëm veshje speciale,Sadece özel kıyafetler,ملابس خاصة فقط,Hanya pakaian khusus,Special clothing only
Q0_OPT_3_WORSHIP_STATE,Особое состояние поклонения,Posebno stanje obožavanja,Një gjendje e veçantë adhurimi,özel bir ibadet hali,حالة عبادة خاصة,Suatu keadaan ibadah khusus,A special state of worship
Q0_OPT_4_FASTING_DAY,День поста,Dan posta,Dita e Agjërimit,Oruç Günü,يوم الصيام,Hari Puasa,Fasting Day
Q0_EXPL_IHRAM,Ихрам — это особое состояние поклонения. Оно начинается с намерения (нийя) и произнесения тальбии и сопровождается определёнными правилами и ограничениями.,"Ihram je posebno stanje ibadeta. Počinje namjerom (nijjom) i izgovaranjem talbije, a praćen je određenim pravilima i ograničenjima.",Ihrami është një gjendje e veçantë adhurimi. Ai fillon me nijetin (nijjen) dhe recitimin e telbijes dhe shoqërohet me rregulla dhe kufizime të caktuara.,"İhram, özel bir ibadet halidir. Niyetle (niyya) ve Talbiye'nin okunmasıyla başlar ve belirli kurallar ve kısıtlamalarla birlikte gelir.",الإحرام حالة عبادة خاصة. يبدأ بالنية وتلاوة التلبية، ويصاحبه قواعد وقيود معينة.,Ihram adalah keadaan ibadah khusus. Ihram dimulai dengan niat (niyya) dan pembacaan Talbiyah serta disertai dengan aturan dan batasan tertentu.,Ihram is a special state of worship. It begins with the intention (niyya) and the recitation of Talbiyah and is accompanied by certain rules and restrictions.
,,,,,,,
Q0_IHRAM_MEN_APPEARANCE,Как выглядит ихрам для мужчин?,Kako izgleda ihram za muškarce?,Si duket ihrami për burrat?,Erkekler için ihram nasıl görünür?,كيف يبدو الإحرام بالنسبة للرجال؟,Seperti apa ihram bagi pria?,What does ihram look like for men?
Q0_OPT_1_ONE_PIECE_CLOTH,Один отрез ткани,Jedan komad tkanine,Një copë pëlhure,Bir parça kumaş,قطعة قماش واحدة,Satu lembar kain,One piece of fabric
Q0_OPT_2_TWO_SEWN_GARMENTS,Два белых сшитых одеяния,Dvije bijele sašivene haljine,Dy rroba të bardha të qepura,İki beyaz dikilmiş elbise,رداءان أبيضان مخيطان,Dua jubah putih yang dijahit,Two white sewn robes
Q0_OPT_3_TWO_UNSEWN_CLOTHS,Два белых несшитых полотна,Dva bijela nešivena platna,Dy kanavacë të bardha të paqepura,İki beyaz dikişsiz tuval,لوحتان قماشيتان بيضاوان غير مخيطتين,Dua kanvas putih tanpa jahitan,Two white unstitched canvases
Q0_OPT_4_COLORFUL_ROBE,Разноцветный халат,Šareni ogrtač,Rrobë shumëngjyrëshe,Çok renkli elbise,رداء متعدد الألوان,Jubah aneka warna,Multicolored robe
